Type,Start,End,# Pages,Attributes
Available,0000000000000000,0000000000086FFF,0000000000000087,000000000000000F
BS_Data,0000000000087000,0000000000087FFF,0000000000000001,000000000000000F
Available,0000000000088000,000000000009EFFF,0000000000000017,000000000000000F
Reserved,000000000009F000,000000000009FFFF,0000000000000001,000000000000000F
Reserved,00000000000A0000,00000000000FFFFF,0000000000000060,0000000000000000
Available,0000000000100000,000000002AB3FFFF,000000000002AA40,000000000000000F
BS_Data,000000002AB40000,000000002ABBFFFF,0000000000000080,000000000000000F
Available,000000002ABC0000,0000000036AD3FFF,000000000000BF14,000000000000000F
BS_Data,0000000036AD4000,0000000036B22FFF,000000000000004F,000000000000000F
LoaderCode,0000000036B23000,0000000036C39FFF,0000000000000117,000000000000000F
Available,0000000036C3A000,0000000036C52FFF,0000000000000019,000000000000000F
BS_Data,0000000036C53000,0000000036C69FFF,0000000000000017,000000000000000F
Available,0000000036C6A000,0000000036C6AFFF,0000000000000001,000000000000000F
BS_Data,0000000036C6B000,000000003C8FEFFF,0000000000005C94,000000000000000F
BS_Code,000000003C8FF000,000000003C91AFFF,000000000000001C,000000000000000F
BS_Data,000000003C91B000,000000003C92BFFF,0000000000000011,000000000000000F
BS_Code,000000003C92C000,000000003C939FFF,000000000000000E,000000000000000F
BS_Data,000000003C93A000,000000003C957FFF,000000000000001E,000000000000000F
BS_Code,000000003C958000,000000003C95AFFF,0000000000000003,000000000000000F
BS_Data,000000003C95B000,000000003C96DFFF,0000000000000013,000000000000000F
BS_Code,000000003C96E000,000000003C96FFFF,0000000000000002,000000000000000F
BS_Data,000000003C970000,000000003C980FFF,0000000000000011,000000000000000F
BS_Code,000000003C981000,000000003C989FFF,0000000000000009,000000000000000F
BS_Data,000000003C98A000,000000003C996FFF,000000000000000D,000000000000000F
BS_Code,000000003C997000,000000003C9B3FFF,000000000000001D,000000000000000F
BS_Data,000000003C9B4000,000000003CA11FFF,000000000000005E,000000000000000F
BS_Code,000000003CA12000,000000003CA13FFF,0000000000000002,000000000000000F
